"mGene","hGene"
"ENSMUSG00000040380","Psun_G000020840"
"ENSMUSG00000015357","Psun_G000019294"
"ENSMUSG00000047153","Psun_G000020839"
"ENSMUSG00000022221","Psun_G000020844"
"ENSMUSG00000022220","Psun_G000020845"
"ENSMUSG00000022219","Psun_G000020849"
"ENSMUSG00000002332","Psun_G000020851"
"ENSMUSG00000075592","Psun_G000020842"
"ENSMUSG00000023411","Psun_G000020843"
"ENSMUSG00000046908","Psun_G000020847"
"ENSMUSG00000040432","Psun_G000020848"
"ENSMUSG00000019297","Psun_G000020850"
"ENSMUSG00000040472","Psun_G000020852"
"ENSMUSG00000022218","Psun_G000020854"
"ENSMUSG00000007589","Psun_G000020855"
"ENSMUSG00000002329","Psun_G000020857"
"ENSMUSG00000007591","Psun_G000020858"
"ENSMUSG00000002320","Psun_G000020860"
"ENSMUSG00000002319","Psun_G000020861"
"ENSMUSG00000002326","Psun_G000020856"
"ENSMUSG00000079197","Psun_G000020866"
"ENSMUSG00000022216","Psun_G000020867"
"ENSMUSG00000040632","Psun_G000020873"
"ENSMUSG00000002324","Psun_G000020863"
"ENSMUSG00000002325","Psun_G000020864"
"ENSMUSG00000047098","Psun_G000020865"
"ENSMUSG00000022215","Psun_G000020869"
"ENSMUSG00000022214","Psun_G000020870"
"ENSMUSG00000022212","Psun_G000020874"
"ENSMUSG00000022211","Psun_G000020876"
"ENSMUSG00000022210","Psun_G000020877"
"ENSMUSG00000115322","Psun_G000020878"
"ENSMUSG00000054509","Psun_G000020825"
"ENSMUSG00000079554","Psun_G000010050"
"ENSMUSG00000022208","Psun_G000020881"
"ENSMUSG00000040701","Psun_G000020882"
"ENSMUSG00000022209","Psun_G000020880"
"ENSMUSG00000100162","Psun_G000020884"
"ENSMUSG00000040721","Psun_G000020887"
"ENSMUSG00000053093","Psun_G000020890"
"ENSMUSG00000115610","Psun_G000020891"
"ENSMUSG00000022204","Psun_G000020888"
"ENSMUSG00000022203","Psun_G000020896"
"ENSMUSG00000022199","Psun_G000020897"
"ENSMUSG00000072494","Psun_G000020900"
"ENSMUSG00000097652","Psun_G000020892"
"ENSMUSG00000040759","Psun_G000020894"
"ENSMUSG00000040770","Psun_G000020895"
"ENSMUSG00000022194","Psun_G000020898"
"ENSMUSG00000092232","Psun_G000020899"
"ENSMUSG00000057156","Psun_G000020901"
"ENSMUSG00000112858","Psun_G000020903"
"ENSMUSG00000022180","Psun_G000020905"
"ENSMUSG00000040822","Psun_G000020908"
"ENSMUSG00000000958","Psun_G000020929"
"ENSMUSG00000000957","Psun_G000020926"
"ENSMUSG00000010406","Psun_G000020927"
"ENSMUSG00000000959","Psun_G000020930"
"ENSMUSG00000040997","Psun_G000020931"
"ENSMUSG00000076928","Psun_G000020932"
"ENSMUSG00000106112","Psun_G000020933"
"ENSMUSG00000022177","Psun_G000020918"
"ENSMUSG00000023110","Psun_G000020921"
"ENSMUSG00000032311","Psun_G000019123"
"ENSMUSG00000022176","Psun_G000020923"
"ENSMUSG00000022175","Psun_G000020924"
"ENSMUSG00000105963","Psun_G000020935"
"ENSMUSG00000076863","Psun_G000020937"
"ENSMUSG00000096397","Psun_G000020938"
"ENSMUSG00000094828","Psun_G000020939"
"ENSMUSG00000095711","Psun_G000027838"
"ENSMUSG00000076855","Psun_G000020941"
"ENSMUSG00000106620","Psun_G000020946"
"ENSMUSG00000076846","Psun_G000020947"
"ENSMUSG00000096825","Psun_G000020951"
"ENSMUSG00000096096","Psun_G000020969"
"ENSMUSG00000030753","Psun_G000011742"
"ENSMUSG00000095370","Psun_G000020954"
"ENSMUSG00000052435","Psun_G000020906"
"ENSMUSG00000114865","Psun_G000020907"
"ENSMUSG00000022185","Psun_G000020909"
"ENSMUSG00000059674","Psun_G000020910"
"ENSMUSG00000062981","Psun_G000026766"
"ENSMUSG00000022193","Psun_G000020913"
"ENSMUSG00000022179","Psun_G000020914"
"ENSMUSG00000022178","Psun_G000020916"
"ENSMUSG00000098284","Psun_G000012982"
"ENSMUSG00000094766","Psun_G000020956"
"ENSMUSG00000105080","Psun_G000020957"
"ENSMUSG00000095607","Psun_G000020944"
"ENSMUSG00000105418","Psun_G000020960"
"ENSMUSG00000096055","Psun_G000020965"
"ENSMUSG00000115532","Psun_G000020971"
"ENSMUSG00000044106","Psun_G000020973"
"ENSMUSG00000086273","Psun_G000020975"
"ENSMUSG00000096417","Psun_G000020942"
"ENSMUSG00000059040","Psun_G000020983"
"ENSMUSG00000049532","Psun_G000020984"
"ENSMUSG00000096531","Psun_G000020966"
"ENSMUSG00000032740","Psun_G000010983"
"ENSMUSG00000095387","Psun_G000020977"
"ENSMUSG00000076760","Psun_G000020978"
"ENSMUSG00000096746","Psun_G000020976"
"ENSMUSG00000060373","Psun_G000020995"
"ENSMUSG00000022160","Psun_G000020985"
"ENSMUSG00000022159","Psun_G000020987"
"ENSMUSG00000016831","Psun_G000020986"
"ENSMUSG00000004558","Psun_G000022879"
"ENSMUSG00000035896","Psun_G000021006"
"ENSMUSG00000072572","Psun_G000021004"
"ENSMUSG00000062148","Psun_G000021005"
"ENSMUSG00000021876","Psun_G000021007"
"ENSMUSG00000049295","Psun_G000020998"
"ENSMUSG00000072571","Psun_G000020996"
"ENSMUSG00000004562","Psun_G000021000"
"ENSMUSG00000008813","Psun_G000021001"
"ENSMUSG00000054320","Psun_G000027723"
"ENSMUSG00000021872","Psun_G000021011"
"ENSMUSG00000021871","Psun_G000021012"
"ENSMUSG00000053754","Psun_G000020989"
"ENSMUSG00000035726","Psun_G000020992"
"ENSMUSG00000057132","Psun_G000020993"
"ENSMUSG00000036242","Psun_G000021028"
"ENSMUSG00000019775","Psun_G000026475"
"ENSMUSG00000071470","Psun_G000021023"
"ENSMUSG00000006288","Psun_G000021024"
"ENSMUSG00000036023","Psun_G000021022"
"ENSMUSG00000051969","Psun_G000021025"
"ENSMUSG00000035953","Psun_G000021013"
"ENSMUSG00000006289","Psun_G000021016"
"ENSMUSG00000090799","Psun_G000021019"
"ENSMUSG00000109958","Psun_G000021017"
"ENSMUSG00000021848","Psun_G000021036"
"ENSMUSG00000115636","Psun_G000021037"
"ENSMUSG00000061244","Psun_G000021035"
"ENSMUSG00000036291","Psun_G000021034"
"ENSMUSG00000048332","Psun_G000021040"
"ENSMUSG00000021846","Psun_G000021041"
"ENSMUSG00000036339","Psun_G000021038"
"ENSMUSG00000021852","Psun_G000021030"
"ENSMUSG00000021850","Psun_G000021032"
"ENSMUSG00000036282","Psun_G000021031"
"ENSMUSG00000000581","Psun_G000011044"
"ENSMUSG00000037526","Psun_G000021044"
"ENSMUSG00000050335","Psun_G000021046"
"ENSMUSG00000021840","Psun_G000021048"
"ENSMUSG00000021843","Psun_G000021042"
"ENSMUSG00000037580","Psun_G000021051"
"ENSMUSG00000021838","Psun_G000021054"
"ENSMUSG00000072589","Psun_G000021053"
"ENSMUSG00000037572","Psun_G000021049"
"ENSMUSG00000031980","Psun_G000026901"
"ENSMUSG00000037536","Psun_G000021045"
"ENSMUSG00000062014","Psun_G000021056"
"ENSMUSG00000015759","Psun_G000021058"
"ENSMUSG00000055128","Psun_G000021055"
"ENSMUSG00000021835","Psun_G000021060"
"ENSMUSG00000009013","Psun_G000020242"
"ENSMUSG00000037712","Psun_G000021066"
"ENSMUSG00000037697","Psun_G000021061"
"ENSMUSG00000053205","Psun_G000021068"
"ENSMUSG00000021832","Psun_G000021069"
"ENSMUSG00000041220","Psun_G000014970"
"ENSMUSG00000055494","Psun_G000021080"
"ENSMUSG00000021830","Psun_G000021072"
"ENSMUSG00000049092","Psun_G000021071"
"ENSMUSG00000037759","Psun_G000021076"
"ENSMUSG00000090709","Psun_G000021077"
"ENSMUSG00000039840","Psun_G000003775"
"ENSMUSG00000021831","Psun_G000021070"
"ENSMUSG00000063458","Psun_G000021093"
"ENSMUSG00000039081","Psun_G000021095"
"ENSMUSG00000090564","Psun_G000021097"
"ENSMUSG00000021771","Psun_G000021098"
"ENSMUSG00000021770","Psun_G000021099"
"ENSMUSG00000021768","Psun_G000021100"
"ENSMUSG00000063821","Psun_G000021102"
"ENSMUSG00000021767","Psun_G000021103"
"ENSMUSG00000021782","Psun_G000021088"
"ENSMUSG00000039197","Psun_G000021106"
"ENSMUSG00000057234","Psun_G000021112"
"ENSMUSG00000039308","Psun_G000021117"
"ENSMUSG00000021819","Psun_G000021118"
"ENSMUSG00000039376","Psun_G000021126"
"ENSMUSG00000068697","Psun_G000021127"
"ENSMUSG00000063787","Psun_G000021123"
"ENSMUSG00000097577","Psun_G000021124"
"ENSMUSG00000039367","Psun_G000021125"
"ENSMUSG00000021816","Psun_G000021129"
"ENSMUSG00000021824","Psun_G000021107"
"ENSMUSG00000021823","Psun_G000021109"
"ENSMUSG00000021822","Psun_G000021110"
"ENSMUSG00000034235","Psun_G000021128"
"ENSMUSG00000023243","Psun_G000021140"
"ENSMUSG00000045107","Psun_G000021141"
"ENSMUSG00000021815","Psun_G000021131"
"ENSMUSG00000021814","Psun_G000021132"
"ENSMUSG00000049960","Psun_G000021133"
"ENSMUSG00000021811","Psun_G000021134"
"ENSMUSG00000039599","Psun_G000021135"
"ENSMUSG00000021810","Psun_G000021137"
"ENSMUSG00000023387","Psun_G000021139"
"ENSMUSG00000021809","Psun_G000021138"
"ENSMUSG00000021807","Psun_G000021142"
"ENSMUSG00000021806","Psun_G000021143"
"ENSMUSG00000041831","Psun_G000026511"
"ENSMUSG00000053593","Psun_G000021996"
"ENSMUSG00000014747","Psun_G000021164"
"ENSMUSG00000006269","Psun_G000021165"
"ENSMUSG00000034783","Psun_G000021167"
"ENSMUSG00000014542","Psun_G000021168"
"ENSMUSG00000061458","Psun_G000003145"
"ENSMUSG00000030001","Psun_G000021170"
"ENSMUSG00000029999","Psun_G000021174"
"ENSMUSG00000030000","Psun_G000021171"
"ENSMUSG00000057497","Psun_G000021175"
"ENSMUSG00000031987","Psun_G000026886"
"ENSMUSG00000029998","Psun_G000021177"
"ENSMUSG00000035933","Psun_G000000886"
"ENSMUSG00000027737","Psun_G000014125"
"ENSMUSG00000045896","Psun_G000021161"
"ENSMUSG00000014748","Psun_G000021163"
"ENSMUSG00000034744","Psun_G000021162"
"ENSMUSG00000001156","Psun_G000021182"
"ENSMUSG00000001158","Psun_G000021183"
"ENSMUSG00000001157","Psun_G000021185"
"ENSMUSG00000107961","Psun_G000021187"
"ENSMUSG00000107865","Psun_G000021194"
"ENSMUSG00000030049","Psun_G000021197"
"ENSMUSG00000033420","Psun_G000021195"
"ENSMUSG00000030518","Psun_G000011456"
"ENSMUSG00000071337","Psun_G000021178"
"ENSMUSG00000046679","Psun_G000021179"
"ENSMUSG00000051695","Psun_G000021180"
"ENSMUSG00000049409","Psun_G000021203"
"ENSMUSG00000030046","Psun_G000021199"
"ENSMUSG00000074465","Psun_G000021198"
"ENSMUSG00000030047","Psun_G000021200"
"ENSMUSG00000030056","Psun_G000021211"
"ENSMUSG00000030057","Psun_G000021212"
"ENSMUSG00000030058","Psun_G000021214"
"ENSMUSG00000030060","Psun_G000021215"
"ENSMUSG00000079477","Psun_G000021216"
"ENSMUSG00000030062","Psun_G000021218"
"ENSMUSG00000015053","Psun_G000021221"
"ENSMUSG00000068263","Psun_G000021206"
"ENSMUSG00000030054","Psun_G000021208"
"ENSMUSG00000089997","Psun_G000021205"
"ENSMUSG00000107928","Psun_G000021210"
"ENSMUSG00000030079","Psun_G000021222"
"ENSMUSG00000033174","Psun_G000021227"
"ENSMUSG00000030082","Psun_G000021224"
"ENSMUSG00000058755","Psun_G000021225"
"ENSMUSG00000033182","Psun_G000021226"
"ENSMUSG00000055403","Psun_G000021238"
"ENSMUSG00000030084","Psun_G000021245"
"ENSMUSG00000030086","Psun_G000021248"
"ENSMUSG00000002871","Psun_G000021235"
"ENSMUSG00000038248","Psun_G000025569"
"ENSMUSG00000030083","Psun_G000021229"
"ENSMUSG00000033152","Psun_G000021232"
"ENSMUSG00000002870","Psun_G000021234"
"ENSMUSG00000046169","Psun_G000021249"
"ENSMUSG00000000811","Psun_G000021250"
"ENSMUSG00000030557","Psun_G000011477"
"ENSMUSG00000049694","Psun_G000021252"
"ENSMUSG00000034456","Psun_G000021254"
"ENSMUSG00000056643","Psun_G000021253"
"ENSMUSG00000057230","Psun_G000021189"
"ENSMUSG00000029993","Psun_G000021191"
"ENSMUSG00000029992","Psun_G000021192"
"ENSMUSG00000030088","Psun_G000021261"
"ENSMUSG00000107815","Psun_G000021255"
"ENSMUSG00000034430","Psun_G000021256"
"ENSMUSG00000030087","Psun_G000021260"
"ENSMUSG00000048794","Psun_G000021257"
"ENSMUSG00000034312","Psun_G000021265"
"ENSMUSG00000034245","Psun_G000021270"
"ENSMUSG00000022889","Psun_G000002839"
"ENSMUSG00000030093","Psun_G000021276"
"ENSMUSG00000064080","Psun_G000021273"
"ENSMUSG00000024845","Psun_G000012580"
"ENSMUSG00000108584","Psun_G000021282"
"ENSMUSG00000030095","Psun_G000021278"
"ENSMUSG00000034203","Psun_G000021277"
"ENSMUSG00000030094","Psun_G000021280"
"ENSMUSG00000021098","Psun_G000000675"
"ENSMUSG00000034083","Psun_G000021292"
"ENSMUSG00000034063","Psun_G000021293"
"ENSMUSG00000034037","Psun_G000021295"
"ENSMUSG00000030096","Psun_G000021283"
"ENSMUSG00000030098","Psun_G000021291"
"ENSMUSG00000030020","Psun_G000021304"
"ENSMUSG00000030091","Psun_G000021269"
"ENSMUSG00000005893","Psun_G000021298"
"ENSMUSG00000014551","Psun_G000021299"
"ENSMUSG00000014550","Psun_G000021301"
"ENSMUSG00000005892","Psun_G000021303"
"ENSMUSG00000045095","Psun_G000021308"
"ENSMUSG00000030029","Psun_G000021315"
"ENSMUSG00000045100","Psun_G000021314"
"ENSMUSG00000030022","Psun_G000021306"
"ENSMUSG00000051900","Psun_G000012051"
"ENSMUSG00000089992","Psun_G000021319"
"ENSMUSG00000069962","Psun_G000021307"
"ENSMUSG00000061838","Psun_G000021321"
"ENSMUSG00000114993","Psun_G000021323"
"ENSMUSG00000059187","Psun_G000021324"
"ENSMUSG00000030031","Psun_G000021320"
"ENSMUSG00000035199","Psun_G000021330"
"ENSMUSG00000044086","Psun_G000021331"
"ENSMUSG00000030064","Psun_G000021335"
"ENSMUSG00000022659","Psun_G000002700"
"ENSMUSG00000035245","Psun_G000021325"
"ENSMUSG00000050428","Psun_G000021327"
"ENSMUSG00000030059","Psun_G000021328"
"ENSMUSG00000030061","Psun_G000021329"
"ENSMUSG00000090667","Psun_G000021338"
"ENSMUSG00000030067","Psun_G000021341"
"ENSMUSG00000097548","Psun_G000021343"
"ENSMUSG00000090602","Psun_G000021344"
"ENSMUSG00000093661","Psun_G000021342"
"ENSMUSG00000072872","Psun_G000021346"
"ENSMUSG00000035378","Psun_G000021347"
"ENSMUSG00000035158","Psun_G000021337"
"ENSMUSG00000052144","Psun_G000021351"
"ENSMUSG00000097834","Psun_G000021353"
"ENSMUSG00000035357","Psun_G000021352"
"ENSMUSG00000030074","Psun_G000021349"
"ENSMUSG00000005364","Psun_G000021361"
"ENSMUSG00000030075","Psun_G000021354"
"ENSMUSG00000013736","Psun_G000021363"
"ENSMUSG00000005362","Psun_G000021364"
"ENSMUSG00000034648","Psun_G000021365"
"ENSMUSG00000030102","Psun_G000021369"
"ENSMUSG00000030103","Psun_G000021371"
"ENSMUSG00000030105","Psun_G000021372"
"ENSMUSG00000030104","Psun_G000021373"
"ENSMUSG00000057604","Psun_G000021376"
"ENSMUSG00000034387","Psun_G000021378"
"ENSMUSG00000056755","Psun_G000021375"
"ENSMUSG00000049112","Psun_G000021379"
"ENSMUSG00000030264","Psun_G000021385"
"ENSMUSG00000030254","Psun_G000021381"
"ENSMUSG00000030269","Psun_G000021390"
"ENSMUSG00000030270","Psun_G000021391"
"ENSMUSG00000001632","Psun_G000021393"
"ENSMUSG00000085012","Psun_G000021395"
"ENSMUSG00000030271","Psun_G000021396"
"ENSMUSG00000048930","Psun_G000021400"
"ENSMUSG00000030276","Psun_G000021404"
"ENSMUSG00000030272","Psun_G000021397"
"ENSMUSG00000079426","Psun_G000021403"
"ENSMUSG00000083937","Psun_G000021399"
"ENSMUSG00000034269","Psun_G000021386"
"ENSMUSG00000086429","Psun_G000021384"
"ENSMUSG00000042873","Psun_G000021388"
"ENSMUSG00000030077","Psun_G000021358"
"ENSMUSG00000030092","Psun_G000021359"
"ENSMUSG00000051256","Psun_G000021407"
"ENSMUSG00000043088","Psun_G000021408"
"ENSMUSG00000051169","Psun_G000021405"
"ENSMUSG00000030278","Psun_G000021406"
"ENSMUSG00000056758","Psun_G000027242"
"ENSMUSG00000045009","Psun_G000021410"
"ENSMUSG00000030302","Psun_G000021426"
"ENSMUSG00000064177","Psun_G000021418"
"ENSMUSG00000030298","Psun_G000021419"
"ENSMUSG00000034023","Psun_G000021412"
"ENSMUSG00000030286","Psun_G000021411"
"ENSMUSG00000033963","Psun_G000021413"
"ENSMUSG00000030307","Psun_G000021429"
"ENSMUSG00000030310","Psun_G000021432"
"ENSMUSG00000030314","Psun_G000021434"
"ENSMUSG00000030315","Psun_G000021435"
"ENSMUSG00000092004","Psun_G000021437"
"ENSMUSG00000030317","Psun_G000021439"
"ENSMUSG00000000440","Psun_G000021442"
"ENSMUSG00000033933","Psun_G000021414"
"ENSMUSG00000060477","Psun_G000021416"
"ENSMUSG00000056952","Psun_G000021417"
"ENSMUSG00000030316","Psun_G000021436"
"ENSMUSG00000000439","Psun_G000021447"
"ENSMUSG00000000441","Psun_G000021451"
"ENSMUSG00000059900","Psun_G000021452"
"ENSMUSG00000042389","Psun_G000021444"
"ENSMUSG00000068011","Psun_G000021446"
"ENSMUSG00000030319","Psun_G000021453"
"ENSMUSG00000057841","Psun_G000021454"
"ENSMUSG00000030321","Psun_G000021456"
"ENSMUSG00000030322","Psun_G000021459"
"ENSMUSG00000030323","Psun_G000021461"
"ENSMUSG00000025702","Psun_G000021470"
"ENSMUSG00000025701","Psun_G000021471"
"ENSMUSG00000050654","Psun_G000021473"
"ENSMUSG00000059878","Psun_G000021474"
"ENSMUSG00000030324","Psun_G000021463"
"ENSMUSG00000030123","Psun_G000021464"
"ENSMUSG00000108030","Psun_G000021466"
"ENSMUSG00000024104","Psun_G000021468"
"ENSMUSG00000042213","Psun_G000021469"
"ENSMUSG00000061353","Psun_G000021480"
"ENSMUSG00000042129","Psun_G000021477"
"ENSMUSG00000048108","Psun_G000021478"
"ENSMUSG00000059689","Psun_G000021482"
"ENSMUSG00000042079","Psun_G000021483"
"ENSMUSG00000004988","Psun_G000021484"
"ENSMUSG00000030138","Psun_G000021491"
"ENSMUSG00000030145","Psun_G000010999"
"ENSMUSG00000051331","Psun_G000021502"
"ENSMUSG00000041477","Psun_G000021503"
"ENSMUSG00000041460","Psun_G000021507"
"ENSMUSG00000055003","Psun_G000021506"
"ENSMUSG00000030168","Psun_G000021509"
"ENSMUSG00000030170","Psun_G000021511"
"ENSMUSG00000030134","Psun_G000021486"
"ENSMUSG00000042042","Psun_G000021487"
"ENSMUSG00000030110","Psun_G000021490"
"ENSMUSG00000030172","Psun_G000021513"
"ENSMUSG00000041377","Psun_G000021518"
"ENSMUSG00000041372","Psun_G000021519"
"ENSMUSG00000007827","Psun_G000021495"
"ENSMUSG00000030177","Psun_G000021520"
"ENSMUSG00000058979","Psun_G000021524"
"ENSMUSG00000071226","Psun_G000021525"
"ENSMUSG00000004902","Psun_G000021527"
"ENSMUSG00000030180","Psun_G000021521"
"ENSMUSG00000002897","Psun_G000021522"
"ENSMUSG00000051586","Psun_G000021535"
"ENSMUSG00000041870","Psun_G000020266"
"ENSMUSG00000009112","Psun_G000021530"
"ENSMUSG00000019210","Psun_G000021528"
"ENSMUSG00000030107","Psun_G000021547"
"ENSMUSG00000040797","Psun_G000021552"
"ENSMUSG00000067825","Psun_G000021543"
"ENSMUSG00000030137","Psun_G000021545"
"ENSMUSG00000057440","Psun_G000026170"
"ENSMUSG00000086327","Psun_G000021514"
"ENSMUSG00000030166","Psun_G000021515"
"ENSMUSG00000045962","Psun_G000021517"
"ENSMUSG00000030108","Psun_G000021548"
"ENSMUSG00000040649","Psun_G000021561"
"ENSMUSG00000038729","Psun_G000021566"
"ENSMUSG00000003153","Psun_G000021568"
"ENSMUSG00000012396","Psun_G000021567"
"ENSMUSG00000030116","Psun_G000021562"
"ENSMUSG00000090192","Psun_G000021563"
"ENSMUSG00000030117","Psun_G000021565"
"ENSMUSG00000070407","Psun_G000021564"
"ENSMUSG00000057982","Psun_G000021553"
"ENSMUSG00000030111","Psun_G000021554"
"ENSMUSG00000030131","Psun_G000021555"
"ENSMUSG00000097635","Psun_G000021569"
"ENSMUSG00000003154","Psun_G000021572"
"ENSMUSG00000030327","Psun_G000021574"
"ENSMUSG00000040552","Psun_G000021573"
"ENSMUSG00000005069","Psun_G000021586"
"ENSMUSG00000008153","Psun_G000021588"
"ENSMUSG00000007458","Psun_G000021558"
"ENSMUSG00000040669","Psun_G000021560"
"ENSMUSG00000049037","Psun_G000021575"
"ENSMUSG00000030148","Psun_G000021576"
"ENSMUSG00000059639","Psun_G000021577"
"ENSMUSG00000023349","Psun_G000021578"
"ENSMUSG00000091620","Psun_G000021581"
"ENSMUSG00000008845","Psun_G000021582"
"ENSMUSG00000072780","Psun_G000021579"
"ENSMUSG00000038527","Psun_G000021589"
"ENSMUSG00000079343","Psun_G000021590"
"ENSMUSG00000030120","Psun_G000021616"
"ENSMUSG00000030124","Psun_G000021614"
"ENSMUSG00000030122","Psun_G000021615"
"ENSMUSG00000030127","Psun_G000021617"
"ENSMUSG00000030329","Psun_G000021618"
"ENSMUSG00000038451","Psun_G000021604"
"ENSMUSG00000038429","Psun_G000021607"
"ENSMUSG00000023505","Psun_G000021609"
"ENSMUSG00000023456","Psun_G000021605"
"ENSMUSG00000023439","Psun_G000021610"
"ENSMUSG00000023191","Psun_G000021611"
"ENSMUSG00000038390","Psun_G000021612"
"ENSMUSG00000053965","Psun_G000014926"
"ENSMUSG00000030340","Psun_G000021640"
"ENSMUSG00000030341","Psun_G000021641"
"ENSMUSG00000067338","Psun_G000021636"
"ENSMUSG00000074657","Psun_G000027309"
"ENSMUSG00000030339","Psun_G000021638"
"ENSMUSG00000108034","Psun_G000021619"
"ENSMUSG00000108037","Psun_G000021622"
"ENSMUSG00000072770","Psun_G000021624"
"ENSMUSG00000038167","Psun_G000021644"
"ENSMUSG00000019843","Psun_G000025500"
"ENSMUSG00000030342","Psun_G000021647"
"ENSMUSG00000001930","Psun_G000021650"
"ENSMUSG00000038115","Psun_G000021654"
"ENSMUSG00000049107","Psun_G000021656"
"ENSMUSG00000004270","Psun_G000021591"
"ENSMUSG00000004264","Psun_G000021595"
"ENSMUSG00000087327","Psun_G000021596"
"ENSMUSG00000092482","Psun_G000021597"
"ENSMUSG00000107478","Psun_G000021598"
"ENSMUSG00000004263","Psun_G000021599"
"ENSMUSG00000004267","Psun_G000021601"
"ENSMUSG00000030125","Psun_G000021602"
"ENSMUSG00000038895","Psun_G000018701"
"ENSMUSG00000107623","Psun_G000021657"
"ENSMUSG00000097596","Psun_G000021659"
"ENSMUSG00000030345","Psun_G000021664"
"ENSMUSG00000030346","Psun_G000021665"
"ENSMUSG00000030344","Psun_G000021663"
"ENSMUSG00000058748","Psun_G000023270"
"ENSMUSG00000000399","Psun_G000021662"
"ENSMUSG00000063870","Psun_G000021625"
"ENSMUSG00000038279","Psun_G000021627"
"ENSMUSG00000038271","Psun_G000021629"
"ENSMUSG00000030335","Psun_G000021631"
"ENSMUSG00000030337","Psun_G000021633"
"ENSMUSG00000038252","Psun_G000021630"
"ENSMUSG00000038213","Psun_G000021634"
"ENSMUSG00000069670","Psun_G000003531"
"ENSMUSG00000000184","Psun_G000021672"
"ENSMUSG00000038028","Psun_G000021669"
"ENSMUSG00000061414","Psun_G000021676"
"ENSMUSG00000030350","Psun_G000021680"
"ENSMUSG00000030351","Psun_G000021682"
"ENSMUSG00000030352","Psun_G000021683"
"ENSMUSG00000030347","Psun_G000021666"
"ENSMUSG00000000183","Psun_G000021667"
"ENSMUSG00000000182","Psun_G000021668"
"ENSMUSG00000107810","Psun_G000021686"
"ENSMUSG00000056771","Psun_G000021685"
"ENSMUSG00000087150","Psun_G000021707"
"ENSMUSG00000086136","Psun_G000021708"
"ENSMUSG00000117813","Psun_G000024275"
"ENSMUSG00000001520","Psun_G000021696"
"ENSMUSG00000001518","Psun_G000021697"
"ENSMUSG00000001517","Psun_G000021693"
"ENSMUSG00000030357","Psun_G000021701"
"ENSMUSG00000048668","Psun_G000021691"
"ENSMUSG00000025724","Psun_G000011584"
"ENSMUSG00000030353","Psun_G000021688"
"ENSMUSG00000001521","Psun_G000021689"
"ENSMUSG00000098120","Psun_G000021712"
"ENSMUSG00000000248","Psun_G000021710"
"ENSMUSG00000030156","Psun_G000021713"
"ENSMUSG00000028082","Psun_G000014340"
"ENSMUSG00000030158","Psun_G000021716"
"ENSMUSG00000050241","Psun_G000021727"
"ENSMUSG00000030359","Psun_G000021702"
"ENSMUSG00000047228","Psun_G000021703"
"ENSMUSG00000030361","Psun_G000021704"
"ENSMUSG00000024313","Psun_G000003670"
"ENSMUSG00000061533","Psun_G000000437"
"ENSMUSG00000025754","Psun_G000011512"
"ENSMUSG00000059410","Psun_G000021744"
"ENSMUSG00000056926","Psun_G000021745"
"ENSMUSG00000071147","Psun_G000021746"
"ENSMUSG00000053063","Psun_G000021715"
"ENSMUSG00000030159","Psun_G000021717"
"ENSMUSG00000046080","Psun_G000021718"
"ENSMUSG00000030160","Psun_G000021723"
"ENSMUSG00000030161","Psun_G000021724"
"ENSMUSG00000033082","Psun_G000021719"
"ENSMUSG00000079293","Psun_G000021720"
"ENSMUSG00000038244","Psun_G000011963"
"ENSMUSG00000030199","Psun_G000021748"
"ENSMUSG00000032652","Psun_G000021757"
"ENSMUSG00000030203","Psun_G000021755"
"ENSMUSG00000003031","Psun_G000021758"
"ENSMUSG00000030200","Psun_G000021749"
"ENSMUSG00000035629","Psun_G000002556"
"ENSMUSG00000041650","Psun_G000021726"
"ENSMUSG00000057716","Psun_G000021729"
"ENSMUSG00000033027","Psun_G000021730"
"ENSMUSG00000032217","Psun_G000019354"
"ENSMUSG00000040936","Psun_G000021734"
"ENSMUSG00000030187","Psun_G000021736"
"ENSMUSG00000030188","Psun_G000021737"
"ENSMUSG00000032899","Psun_G000021738"
"ENSMUSG00000030189","Psun_G000021740"
"ENSMUSG00000030205","Psun_G000021763"
"ENSMUSG00000042770","Psun_G000021764"
"ENSMUSG00000061436","Psun_G000008594"
"ENSMUSG00000030201","Psun_G000021752"
"ENSMUSG00000032718","Psun_G000021754"
"ENSMUSG00000090698","Psun_G000021759"
"ENSMUSG00000030204","Psun_G000021760"
"ENSMUSG00000046733","Psun_G000021762"
"ENSMUSG00000030208","Psun_G000021768"
"ENSMUSG00000030209","Psun_G000021770"
"ENSMUSG00000083988","Psun_G000021771"
"ENSMUSG00000030207","Psun_G000021765"
"ENSMUSG00000030206","Psun_G000021767"
"ENSMUSG00000064330","Psun_G000021784"
"ENSMUSG00000020023","Psun_G000021781"
"ENSMUSG00000030218","Psun_G000021782"
"ENSMUSG00000030219","Psun_G000021783"
"ENSMUSG00000030222","Psun_G000021788"
"ENSMUSG00000030213","Psun_G000021772"
"ENSMUSG00000102428","Psun_G000021773"
"ENSMUSG00000030223","Psun_G000021790"
"ENSMUSG00000042638","Psun_G000021775"
"ENSMUSG00000030216","Psun_G000021776"
"ENSMUSG00000047515","Psun_G000021777"
"ENSMUSG00000043298","Psun_G000021779"
"ENSMUSG00000030217","Psun_G000021780"
"ENSMUSG00000030224","Psun_G000021794"
"ENSMUSG00000030225","Psun_G000021796"
