Geneid,Chr,chr,Mouse_ID,Gene_name,Start,End,Length
Psun_G000003497,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000024440,Pcdh12,266645300,266645306,291
Psun_G000003498,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000024442,Dele1,266650271,266651646,3210
Psun_G000003499,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000051375,Pcdh1,266700639,266700905,3641
Psun_G000003500,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000051375,Pcdh1,266719330,266719445,555
Psun_G000003501,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000024451,Arap3,266888922,266889027,6016
Psun_G000003502,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000044024,Rell2,266918750,266918757,6305
Psun_G000003503,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000044024,Rell2,266928897,266929820,2668
Psun_G000003504,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000024454,Hdac3,266933593,266933715,1322
Psun_G000003505,ScmyWZ3_7291_HRSCAF_7434,1,#N/A,#N/A,266947836,266947936,270
Psun_G000003506,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000024456,Diaph1,266950873,266950878,2031
Psun_G000003507,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000024456,Diaph1,267022611,267023307,3657
Psun_G000003508,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000102918,Pcdhgc3,267041348,267043269,9222
Psun_G000003509,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000103309,#N/A,267075897,267076097,210
Psun_G000003510,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000104063,Pcdhgb7,267114048,267116462,15144
Psun_G000003511,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000103793,Pcdhga6,267142704,267142769,11982
Psun_G000003512,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000103567,Pcdhga5,267171209,267171351,570
Psun_G000003513,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000103332,Pcdhga2,267183715,267186162,14241
Psun_G000003514,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000103144,Pcdhga1,267217971,267220403,2433
Psun_G000003515,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000051316,Taf7,267240844,267241155,1341
Psun_G000003516,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000073591,Pcdhb22,267303885,267306260,2376
Psun_G000003517,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000044022,#N/A,267308614,267309076,750
Psun_G000003518,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000103125,#N/A,267310618,267310694,13278
Psun_G000003519,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000044043,Pcdhb14,267364940,267367279,2340
Psun_G000003520,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000047307,#N/A,267370030,267372420,2391
Psun_G000003521,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000043458,Pcdhb12,267377689,267378939,1251
Psun_G000003522,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000045498,Pcdhb3,267385981,267387521,16143
Psun_G000003523,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000051599,Pcdhb2,267451981,267453942,1962
Psun_G000003524,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000103255,#N/A,267536122,267538819,7802
Psun_G000003525,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000103770,Pcdha9,267652356,267652376,11037
Psun_G000003526,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000102206,Pcdha11,267653162,267653899,4338
Psun_G000003527,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000104318,Pcdha7,267685486,267685662,2721
Psun_G000003528,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000104148,#N/A,267693464,267693517,13398
Psun_G000003529,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000103125,#N/A,267693623,267693697,1209
Psun_G000003530,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000104148,#N/A,267698779,267698871,12540
Psun_G000003531,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000069670,Nkain2,267739933,267739945,300
Psun_G000003532,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000001383,Zmat2,267824473,267826275,2277
Psun_G000003533,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000019143,Hars2,267832654,267833819,2868
Psun_G000003534,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000001380,Hars,267841963,267842115,1593
Psun_G000003535,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000042660,Wdr55,267857748,267857903,3661
Psun_G000003536,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000042660,Wdr55,267858737,267861007,3627
Psun_G000003537,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000024474,Ik,267865971,267865979,624
Psun_G000003538,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000024474,Ik,267867714,267868211,2579
Psun_G000003539,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000106900,Gm2040,267880009,267880109,382
Psun_G000003540,ScmyWZ3_7291_HRSCAF_7434,1,#N/A,#N/A,267880467,267880513,234
Psun_G000003541,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000006850,Tmco6,267885490,267885579,789
Psun_G000003542,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000051439,Cd14,267903396,267904094,2135
Psun_G000003543,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000044719,#N/A,267930790,267930930,1811
Psun_G000003544,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000033272,Slc35a4,267941996,267942970,975
Psun_G000003545,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000033272,Slc35a4,267943360,267943557,1343
Psun_G000003546,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000117679,Apbb3,267945229,267945822,1098
Psun_G000003547,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000117679,Apbb3,267948233,267948357,1811
Psun_G000003548,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000117679,Apbb3,267949432,267949467,228
Psun_G000003549,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000006050,Sra1,267952694,267952718,871
Psun_G000003550,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000024483,Ankhd1,267957082,267957719,6429
Psun_G000003551,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000024483,Ankhd1,268023498,268023604,1399
Psun_G000003552,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000024485,Slc4a9,268082683,268082910,3477
Psun_G000003553,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000024486,Hbegf,268105793,268107661,2210
Psun_G000003554,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000024486,Hbegf,268115335,268115630,549
Psun_G000003555,ScmyWZ3_7291_HRSCAF_7434,1,#N/A,#N/A,268143727,268143814,192
Psun_G000003556,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000020778,Ten1,268144262,268144393,273
Psun_G000003557,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000043991,Pura,268321563,268322528,966
Psun_G000003558,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000043991,Pura,268323676,268323752,77
Psun_G000003559,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000060275,Nrg2,268548081,268548328,1911
Psun_G000003560,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000024347,Psd2,268583277,268588697,6405
Psun_G000003561,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000024347,Psd2,268614105,268614216,1206
Psun_G000003562,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000046668,Cxxc5,268727065,268727548,2344
Psun_G000003563,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000091896,Ube2d2a,268774009,268774125,434
Psun_G000003564,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000024349,Sting1,268828981,268829279,2332
Psun_G000003565,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000073598,#N/A,268845630,268845964,814
Psun_G000003566,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000024350,Dnajc18,268883469,268883597,516
Psun_G000003567,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000062393,#N/A,268901301,268901432,459
Psun_G000003568,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000024352,Spata24,268906020,268906496,678
Psun_G000003569,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000073600,Prob1,268916235,268919297,3063
Psun_G000003570,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000117874,Gm50318,268921116,268922236,1719
Psun_G000003571,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000024354,Slc23a1,268928651,268928886,5800
Psun_G000003572,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000037058,Paip2,268940809,268941697,2172
Psun_G000003573,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000037236,Matr3,268962058,268963092,3377
Psun_G000003574,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000024357,#N/A,269225347,269225538,312
Psun_G000003575,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000024357,#N/A,269282291,269282503,567
Psun_G000003576,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000037815,Ctnna1,269294377,269295566,2561
Psun_G000003577,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000037815,Ctnna1,269303524,269303631,1071
Psun_G000003578,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000037815,Ctnna1,269355035,269355238,714
Psun_G000003579,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000024359,Hspa9,269552867,269553045,2380
Psun_G000003580,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000024360,Etf1,269591717,269591838,3542
Psun_G000003581,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000038418,Egr1,269634879,269637376,3177
Psun_G000003582,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000038555,Reep2,269652455,269653514,2388
Psun_G000003583,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000038773,Kdm3b,269662593,269663982,6187
Psun_G000003584,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000034300,Fam53c,269723850,269723930,285
Psun_G000003585,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000034300,Fam53c,269726134,269726346,1821
Psun_G000003586,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000044201,Cdc25c,269745173,269745383,2405
Psun_G000003587,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000024366,Gfra3,269772337,269772497,1960
Psun_G000003588,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000003779,Kif20a,269822348,269822523,10179
Psun_G000003589,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000003779,Kif20a,269836830,269838804,4535
Psun_G000003590,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000003778,Brd8,269848663,269849193,3821
Psun_G000003591,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000035984,Nme5,269899135,269899669,961
Psun_G000003592,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000012282,#N/A,269928757,269929317,1035
Psun_G000003593,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000014503,Pkd2l2,269968570,269968673,4915
Psun_G000003594,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000014503,Pkd2l2,270017005,270017195,1504
Psun_G000003595,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000005873,Reep5,270083624,270083762,364
Psun_G000003596,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000014504,Srp19,270106157,270106684,1580
Psun_G000003597,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000005871,Apc,270114566,270114571,648
Psun_G000003598,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000005871,Apc,270130017,270130136,1982
Psun_G000003599,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000005871,Apc,270148295,270148479,423
Psun_G000003600,ScmyWZ3_7291_HRSCAF_7434,1,#N/A,#N/A,270325951,270326242,378
Psun_G000003601,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000024376,Epb41l4a,270575420,270575451,801
Psun_G000003602,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000042834,Nrep,270689141,270689170,732
Psun_G000003603,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000024378,Stard4,271119955,271120010,760
Psun_G000003604,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000038128,Camk4,271131692,271131697,543
Psun_G000003605,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000038128,Camk4,271146360,271148949,2983
Psun_G000003606,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000030691,Fchsd2,271406458,271406606,360
Psun_G000003607,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000038299,Wdr36,271415421,271415570,2855
Psun_G000003608,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000024379,#N/A,271458290,271458424,294
Psun_G000003609,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000090523,Gypc,271703589,271703817,2085
Psun_G000003610,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000109238,Gm35060,271755065,271755309,667
Psun_G000003611,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000024381,Bin1,271769869,271772848,4111
Psun_G000003612,ScmyWZ3_7291_HRSCAF_7434,1,#N/A,#N/A,271780686,271780993,888
Psun_G000003613,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000024381,Bin1,271782128,271782346,1288
Psun_G000003614,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000024382,Ercc3,271910092,271910862,2798
Psun_G000003615,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000024383,Map3k2,271936083,271945041,10446
Psun_G000003616,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000024386,Proc,272038356,272038877,1915
Psun_G000003617,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000024384,Iws1,272084195,272084326,2274
Psun_G000003618,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000036940,Kdm1a,272110545,272110594,76
Psun_G000003619,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000024388,Myo7b,272131619,272131747,3705
Psun_G000003620,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000024388,Myo7b,272192409,272192669,447
Psun_G000003621,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000024388,Myo7b,272194877,272195137,261
Psun_G000003622,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000024388,Myo7b,272196445,272196521,2037
Psun_G000003623,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000024395,Lims2,272207062,272207844,1223
Psun_G000003624,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000052229,Gpr17,272211318,272211471,581
Psun_G000003625,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000052229,Gpr17,272214984,272215110,5302
Psun_G000003626,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000024400,Wdr33,272256538,272261346,7975
Psun_G000003627,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000024400,Wdr33,272324005,272326098,2487
Psun_G000003628,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000024258,Polr2d,272359840,272360466,925
Psun_G000003629,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000097748,#N/A,272365643,272365859,273
Psun_G000003630,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000041915,Ammecr1l,272379849,272379960,1029
Psun_G000003631,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000001127,Araf,272401303,272401398,348
Psun_G000003632,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000024260,Sap130,272427191,272428487,4294
Psun_G000003633,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000024260,Sap130,272486534,272486555,366
Psun_G000003634,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000024259,Slc25a46,272499340,272502320,3025
Psun_G000003635,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000024259,Slc25a46,272517417,272517419,297
Psun_G000003636,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000096934,#N/A,272631790,272632130,2772
Psun_G000003637,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000116215,#N/A,273029929,273030119,519
Psun_G000003638,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000033628,Pik3c3,273571641,273571715,2759
Psun_G000003639,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000115852,#N/A,275947367,275947775,610
Psun_G000003640,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000024268,Celf4,277950211,277950231,4041
Psun_G000003641,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000024268,Celf4,278009567,278009735,624
Psun_G000003642,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000024269,Tpgs2,278263504,278263523,5897
Psun_G000003643,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000034295,Fhod3,278307151,278307608,4215
Psun_G000003644,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000039616,Mocos,278722409,278724992,5179
Psun_G000003645,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000024271,Elp2,278778014,278781914,7029
Psun_G000003646,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000024271,Elp2,278813881,278813893,492
Psun_G000003647,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000024270,Slc39a6,278814457,278814482,2418
Psun_G000003648,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000097585,#N/A,278834253,278834321,684
Psun_G000003649,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000040446,Rprd1a,278873854,278873984,1698
Psun_G000003650,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000040446,Rprd1a,278897655,278897747,189
Psun_G000003651,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000024273,2700062C07Rik,278902821,278905900,3727
Psun_G000003652,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000000420,Galnt1,279107657,279109747,3046
Psun_G000003653,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000000420,Galnt1,279140988,279141150,475
Psun_G000003654,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000047989,Ino80c,279259892,279261292,4156
Psun_G000003655,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000051469,Zfp24,279355294,279355422,5478
Psun_G000003656,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000024274,Zscan30,279402435,279403062,841
Psun_G000003657,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000024276,Zfp397,279402837,279402971,2298
Psun_G000003658,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000024277,Mapre2,279477126,279480176,3381
Psun_G000003659,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000024277,Mapre2,279507030,279507121,452
Psun_G000003660,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000024302,Dtna,279661256,279662286,1514
Psun_G000003661,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000024302,Dtna,279685303,279687570,3579
Psun_G000003662,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000024302,Dtna,279750773,279750990,273
Psun_G000003663,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000069014,Gm5641,280152138,280152451,624
Psun_G000003664,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000024078,Ttc27,280152831,280153035,364
Psun_G000003665,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000045215,Asxl3,280292000,280292149,1851
Psun_G000003666,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000045215,Asxl3,280631825,280635571,6546
Psun_G000003667,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000042514,Klhl14,281490134,281490225,622
Psun_G000003668,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000117405,#N/A,281623187,281623258,270
Psun_G000003669,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000042680,Garem1,281845964,281845988,2316
Psun_G000003670,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000024313,Mep1b,281915926,281916168,2244
Psun_G000003671,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000024317,Rnf138,281978979,281981112,2791
Psun_G000003672,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000033107,Rnf125,282007633,282012160,5313
Psun_G000003673,ScmyWZ3_7291_HRSCAF_7434,1,#N/A,#N/A,282078356,282078650,813
Psun_G000003674,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000033382,Trappc8,282090258,282090414,4309
Psun_G000003675,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000056124,B4galt6,282295553,282295565,4208
Psun_G000003676,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000061808,Ttr,282322271,282322497,656
Psun_G000003677,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000036452,Arhgap26,282352480,282352770,696
Psun_G000003678,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000085595,#N/A,282361924,282362946,3160
Psun_G000003679,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000056632,Dsg3,282415008,282415826,3594
Psun_G000003680,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000001804,Dsg4,282473583,282476525,5079
Psun_G000003681,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000061928,Dsg1b,282524756,282529553,6957
Psun_G000003682,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000044322,Dsc1,282669797,282669987,2870
Psun_G000003683,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000024331,Dsc2,282716543,282716958,2606
Psun_G000003684,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000073792,#N/A,282750960,282751008,402
Psun_G000003685,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000059898,Dsc3,282781203,282781287,2834
Psun_G000003686,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000114484,#N/A,283078526,283078648,255
Psun_G000003687,ScmyWZ3_7291_HRSCAF_7434,1,#N/A,#N/A,283078844,283078903,306
Psun_G000003688,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000084029,#N/A,284054722,284054795,399
Psun_G000003689,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000030660,Pik3c2a,284366186,284366198,396
Psun_G000003690,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000021621,Zcchc9,284813917,284814299,456
Psun_G000003691,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000024304,Cdh2,285403840,285403859,2700
Psun_G000003692,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000047161,Chst9,286168963,286168978,1887
Psun_G000003693,ScmyWZ3_7291_HRSCAF_7434,1,#N/A,#N/A,286463021,286463143,218
Psun_G000003694,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000024411,Aqp4,286464510,286464747,5185
Psun_G000003695,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000036225,Kctd1,286863129,286863506,1479
Psun_G000003696,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000054321,Taf4b,287002036,287002174,1301
Psun_G000003697,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000036743,#N/A,287089478,287089543,318
Psun_G000003698,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000037013,Ss18,287160839,287161067,2926
Psun_G000003699,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000037346,Hrh4,288691560,288692728,1421
Psun_G000003700,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000024423,Impact,288736077,288738509,3249
Psun_G000003701,ScmyWZ3_7291_HRSCAF_7434,1,#N/A,#N/A,288788221,288788343,206
Psun_G000003702,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000044252,Osbpl1a,288807716,288807827,891
Psun_G000003703,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000043719,Col6a6,288839381,288839966,866
Psun_G000003704,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000044252,Osbpl1a,288854249,288854323,333
Psun_G000003705,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000024430,Cabyr,288936132,288936271,3582
Psun_G000003706,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000024430,Cabyr,288950672,288953709,4429
Psun_G000003707,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000024424,Ttc39c,288969534,288969834,871
Psun_G000003708,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000024424,Ttc39c,289002299,289002500,765
Psun_G000003709,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000024421,Lama3,289096119,289096498,5838
Psun_G000003710,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000057766,Ankrd29,289336069,289336212,942
Psun_G000003711,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000057766,Ankrd29,289367495,289367543,297
Psun_G000003712,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000024413,Npc1,289388199,289388234,3816
Psun_G000003713,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000024410,Rmc1,289421099,289424593,5436
Psun_G000003714,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000024413,Npc1,289423546,289423629,321
Psun_G000003715,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000057766,Ankrd29,289455377,289455483,192
Psun_G000003716,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000024404,Riok3,289461322,289461429,1242
Psun_G000003717,ScmyWZ3_7291_HRSCAF_7434,1,#N/A,#N/A,289483513,289483968,456
Psun_G000003718,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000033047,Eif3l,289522984,289523162,222
Psun_G000003719,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000110898,#N/A,289525121,289525241,822
Psun_G000003720,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000036103,Colec12,289698386,289698509,2310
Psun_G000003721,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000024287,Thoc1,289759595,289759951,1437
Psun_G000003722,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000047879,Usp14,289787203,289787211,684
Psun_G000003723,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000047879,Usp14,289790089,289790239,306
Psun_G000003724,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000047879,Usp14,289795712,289795723,519
